X Coordinate,Y Coordinate
602,465
600,466
609,464
598,462
567,458
536,429
509,432
517,424
515,426
521,417
528,405
532,401
535,397
535,396
547,399
547,398
547,393
547,386
553,387
560,388
558,390
543,400
528,407
526,407
529,403
536,402
531,406
525,411
532,413
544,413
552,412
555,409
557,407
557,408
564,406
576,409
579,407
578,409
579,410
586,414
588,422
586,428
580,404
580,377
579,368
575,392
572,420
575,417
577,398
580,392
572,421
556,434
550,415
542,388
530,357
492,383
468,417
484,404
513,385
530,376
530,404
526,433
526,425
537,395
546,379
555,411
553,434
558,413
563,367
575,370
596,410
605,412
608,399
617,375
659,401
668,418
666,421
657,414
652,416
636,417
622,424
593,386
571,355
544,354
515,326
492,345
455,404
428,411
382,393
354,407
344,413
329,413
309,429
285,468
286,484
302,454
323,428
345,430
380,425
451,373
496,368
536,414
569,425
603,406
652,398
686,414
703,409
720,415
735,441
739,462
736,433
734,418
723,423
683,376
648,332
625,342
605,380
587,410
555,385
520,362
499,391
479,389
475,365
470,392
463,413
472,408
494,415
509,425
538,426
571,411
608,397
635,399
652,421
676,444
693,466
722,486
710,487
713,462
713,404
714,328
708,270
709,236
715,245
715,282
715,345
713,427
707,474
706,483
709,468
710,436
712,407
715,398
717,404
720,409
722,405
723,407
724,406
724,405
725,405
725,405
725,405
726,404
729,404
735,405
742,406
758,406
766,401
770,396
770,393
757,395
730,398
704,401
671,405
650,408
644,408
649,408
666,411
687,413
710,417
728,422
750,417
758,411
759,410
751,407
733,405
710,406
666,409
653,408
655,408
668,406
687,409
723,409
747,413
763,413
775,410
783,406
781,405
764,404
739,407
714,408
683,407
665,405
661,410
667,409
692,409
720,412
736,412
750,412
760,409
761,407
758,403
746,402
725,401
701,404
677,405
659,407
649,407
646,405
652,404
662,408
660,407
653,405
704,413
622,408
595,411
569,409
541,407
518,400
492,391
478,388
455,390
427,394
399,397
357,396
337,389
319,387
281,387
321,405
307,393
298,393
286,392
112,387
125,385
133,389
123,391
101,386
92,381
87,374
84,375
86,377
87,374
90,370
94,367
104,366
114,365
126,367
137,369
150,371
161,379
177,393
201,393
225,386
240,380
261,374
293,364
316,364
346,366
363,368
381,373
402,378
419,383
453,382
475,388
500,387
512,384
533,388
548,379
563,386
584,374
656,363
700,360
738,419
741,424
743,181
799,354
801,358
797,429
802,430
794,427
794,430
797,426
793,431
794,430
799,431
796,427
798,430
804,360
801,396
798,431
798,431
797,432
793,432
791,432
793,434
794,435
799,431
801,435
800,432
797,434
800,434
799,434
799,434
797,433
798,433
798,432
798,432
797,433
798,433
798,432
799,432
800,432
795,432
798,432
799,431
798,431
801,432
801,431
801,431
798,431
797,433
799,432
800,432
799,432
799,432
799,431
797,430
799,431
799,431
798,429
800,431
800,431
799,431
798,431
801,432
801,431
801,433
800,433
786,430
780,430
764,427
749,426
703,365
591,383
582,384
580,383
579,379
571,385
576,387
592,397
595,412
610,438
617,464
611,473
610,495
492,553
704,613
717,639
712,639
707,646
709,649
702,652
692,661
697,680
713,700
695,710
698,714
655,713
658,701
670,696
658,697
698,705
683,712
465,708
572,714
540,709
520,708
524,708
544,704
570,704
579,701
590,694
603,692
586,688
555,686
555,682
575,681
406,630
503,605
498,575
513,544
531,509
549,467
544,433
512,406
448,393
403,360
339,359
243,275
162,295
88,251
24,69
95,490
60,645
68,671
60,651
47,648
61,628
45,650
68,652
60,645
95,433
95,417
95,426
95,424
95,374
95,478
95,437
96,380
55,642
57,661
64,654
66,678
96,450
95,453
95,446
95,506
96,423
65,685
53,658
27,652
96,459
63,642
65,657
96,439
59,627
49,641
60,649
58,637
56,632
62,643
50,636
56,641
61,653
63,665
95,457
96,464
34,641
60,635
96,456
61,671
57,651
57,635
48,668
52,651
68,688
49,666
49,646
52,646
53,673
62,645
61,656
49,643
54,677
52,660
67,671
54,665
63,678
64,693
64,633
59,637
57,651
69,699
65,661
65,674
68,694
55,670
